date,year,month,day,all_area,area_強羅,area_桃源台,area_元箱根港,area_箱根町港,area_箱根湯本
2020-01-20,2020,1,20,69238,2403,173,37444,239,28979
2020-01-21,2020,1,21,247136,37920,19407,47409,16601,125799
2020-01-22,2020,1,22,260378,43524,19002,46640,21284,129928
2020-01-23,2020,1,23,206091,35196,10546,30960,14283,115106
2020-01-24,2020,1,24,289393,47017,26687,53488,19493,142708
2020-01-25,2020,1,25,355246,54187,38929,64708,31372,166050
2020-01-26,2020,1,26,351149,58479,24529,54893,23678,189570
2020-01-27,2020,1,27,302661,53150,22931,49241,23843,153496
2020-01-28,2020,1,28,238267,46992,9248,29107,17989,134931
2020-01-29,2020,1,29,270352,46819,22782,44555,18531,137665
2020-01-30,2020,1,30,249185,42103,20492,45538,21062,119990
2020-01-31,2020,1,31,251836,41805,16133,46540,19024,128334
2020-02-01,2020,2,1,337529,46355,25684,58763,27043,179684
2020-02-02,2020,2,2,358762,48794,24184,75537,31371,178876
2020-02-03,2020,2,3,277792,43134,18127,55145,20084,141302
2020-02-04,2020,2,4,266306,43176,16548,47564,18164,140854
2020-02-05,2020,2,5,262798,36628,16467,44901,17201,147601
2020-02-06,2020,2,6,251248,39103,13207,40855,18945,139138
2020-02-07,2020,2,7,246917,16912,14118,41911,17841,156135
2020-02-08,2020,2,8,328347,5569,29017,63771,25473,204517
2020-02-09,2020,2,9,411518,33307,33945,77642,33418,233206
2020-02-10,2020,2,10,357082,32818,26058,63355,25953,208898
2020-02-11,2020,2,11,346982,24382,26263,64294,28531,203512
2020-02-12,2020,2,12,258646,27512,13398,42910,18751,156075
2020-02-13,2020,2,13,218556,3936,10275,34526,15064,154755
2020-02-14,2020,2,14,267844,40505,14779,43396,18425,150739
2020-02-15,2020,2,15,355350,49249,24707,58515,25151,197728
2020-02-16,2020,2,16,304940,43133,6160,32123,16719,206805
2020-02-17,2020,2,17,316510,49885,14543,50603,23451,178028
2020-02-18,2020,2,18,324207,54879,20635,46878,20793,181022
2020-02-19,2020,2,19,287335,43682,17641,45054,19480,161478
2020-02-20,2020,2,20,258942,46018,13075,40359,17530,141960
2020-02-21,2020,2,21,284476,43882,19714,45379,21602,153899
2020-02-22,2020,2,22,342611,48397,6179,41231,29099,217705
2020-02-23,2020,2,23,520140,83224,57471,93321,44113,242011
2020-02-24,2020,2,24,418515,59709,30473,78361,31999,217973
2020-02-25,2020,2,25,277326,44082,14838,41723,19297,157386
2020-02-26,2020,2,26,261372,45062,11029,35016,16746,153519
2020-02-27,2020,2,27,262362,42077,16521,39567,17148,147049
2020-02-28,2020,2,28,252673,38686,13406,38996,16829,144756
2020-02-29,2020,2,29,256311,37220,17519,40903,21393,139276
2020-03-01,2020,3,1,287110,39788,20044,53401,25821,148056
2020-03-02,2020,3,2,198572,33063,7375,24333,13738,120063
2020-03-03,2020,3,3,254257,40814,16924,44000,18105,134414
2020-03-04,2020,3,4,214685,37099,9948,31160,13094,123384
2020-03-05,2020,3,5,250706,42688,14908,43154,16659,133297
2020-03-06,2020,3,6,257347,45791,16394,46148,18377,130637
2020-03-07,2020,3,7,312589,51150,21989,58542,24923,155985
2020-03-08,2020,3,8,244172,43209,8271,24678,16710,151304
2020-03-09,2020,3,9,291063,48903,21625,55907,25045,139583
2020-03-10,2020,3,10,241226,46921,6754,22455,15286,149810
2020-03-11,2020,3,11,306200,58755,21026,55746,22031,148642
2020-03-12,2020,3,12,291391,50596,16680,44153,22137,157825
2020-03-13,2020,3,13,283929,44248,18411,50009,22557,148704
2020-03-14,2020,3,14,250067,44569,6462,22529,17395,159112
2020-03-15,2020,3,15,346473,56001,24248,63425,29450,173349
2020-03-16,2020,3,16,301357,49934,18702,51251,22471,158999
2020-03-17,2020,3,17,336115,55602,22883,50104,29084,178442
2020-03-18,2020,3,18,342586,62155,23832,55927,29352,171320
2020-03-19,2020,3,19,308313,51140,18943,43981,23344,170905
2020-03-20,2020,3,20,425555,86378,28924,65800,35479,208974
2020-03-21,2020,3,21,495161,111246,38123,83599,44649,217544
2020-03-22,2020,3,22,401094,73171,28305,63663,33387,202568
2020-03-23,2020,3,23,311606,53379,12883,38128,21841,185375
2020-03-24,2020,3,24,329373,61857,19822,51350,27344,169000
2020-03-25,2020,3,25,324348,58394,19949,46852,23504,175649
2020-03-26,2020,3,26,335652,59432,25619,54098,25501,171002
2020-03-27,2020,3,27,237145,38634,3421,28505,16211,150374
2020-03-28,2020,3,28,217581,37646,13199,28490,17969,120277
2020-03-29,2020,3,29,168348,30172,4323,16422,9642,107789
2020-03-30,2020,3,30,184815,33562,7364,21426,14200,108263
2020-03-31,2020,3,31,153028,25839,6538,16982,13780,89889
2020-04-01,2020,4,1,112737,21210,3069,10134,7534,70790
2020-04-02,2020,4,2,118841,20928,6168,16649,9958,65138
2020-04-03,2020,4,3,126950,24318,4768,17822,11261,68781
2020-04-04,2020,4,4,142044,23722,5619,30302,13912,68489
2020-04-05,2020,4,5,134719,21357,5694,27734,14073,65861
2020-04-06,2020,4,6,99288,21103,3507,15104,9815,49759
2020-04-07,2020,4,7,94584,19149,3314,14827,8479,48815
2020-04-08,2020,4,8,90817,15880,3522,13077,8605,49733
2020-04-09,2020,4,9,79310,16612,3032,12356,6678,40632
2020-04-10,2020,4,10,80071,17113,523,13582,6871,41982
2020-04-11,2020,4,11,90518,15206,1004,18108,9273,46927
2020-04-12,2020,4,12,75501,15254,875,13687,7028,38657
2020-04-13,2020,4,13,62052,14932,643,5509,4040,36928
2020-04-14,2020,4,14,72962,15066,1962,10271,7336,38327
2020-04-15,2020,4,15,74829,16208,1429,11562,6703,38927
2020-04-16,2020,4,16,71550,14460,1494,9691,5890,40015
2020-04-17,2020,4,17,73110,13154,1112,10345,6266,42233
2020-04-18,2020,4,18,59028,11523,269,8502,3883,34851
2020-04-19,2020,4,19,88149,13208,989,21709,11226,41017
2020-04-20,2020,4,20,57787,11965,934,8006,4739,32143
2020-04-21,2020,4,21,64322,13061,563,10898,5162,34638
2020-04-22,2020,4,22,64463,12123,920,10338,6437,34645
2020-04-23,2020,4,23,72528,14740,3146,11135,5593,37914
2020-04-24,2020,4,24,74738,13681,614,13361,7006,40076
2020-04-25,2020,4,25,70030,15023,1240,16150,6649,30968
2020-04-26,2020,4,26,66463,14037,434,14754,6041,31197
2020-04-27,2020,4,27,58180,13890,504,8255,4979,30552
2020-04-28,2020,4,28,62396,13127,908,11231,5213,31917
2020-04-29,2020,4,29,65267,12722,1512,13932,10418,26683
2020-04-30,2020,4,30,59645,14678,609,11578,4655,28125
2020-05-01,2020,5,1,63359,12171,316,11917,4581,34374
2020-05-02,2020,5,2,57992,8992,571,17181,5392,25856
2020-05-03,2020,5,3,60947,9230,1249,16669,6127,27672
2020-05-04,2020,5,4,60683,13948,946,13843,4215,27731
2020-05-05,2020,5,5,59658,10248,539,14973,5756,28142
2020-05-06,2020,5,6,48730,10836,1157,9346,3618,23773
2020-05-07,2020,5,7,57053,12748,1022,9535,4249,29499
2020-05-08,2020,5,8,65554,14147,833,12682,5088,32804
2020-05-09,2020,5,9,60970,12907,580,12879,4886,29718
2020-05-10,2020,5,10,45371,10478,581,7033,2601,24678
2020-05-11,2020,5,11,37020,6558,1210,7147,4990,17115
2020-05-12,2020,5,12,44311,9033,585,8875,4392,21426
2020-05-13,2020,5,13,41979,8367,1254,8715,3727,19916
2020-05-14,2020,5,14,60476,11072,796,9661,4434,34513
2020-05-15,2020,5,15,61696,10134,1047,10641,5082,34792
2020-05-16,2020,5,16,52725,14549,452,8626,3415,25683
2020-05-17,2020,5,17,68220,10950,403,17587,6618,32662
2020-05-18,2020,5,18,58199,11334,470,8504,3882,34009
2020-05-19,2020,5,19,54036,11512,1120,5868,3747,31789
2020-05-20,2020,5,20,64631,11549,2155,8319,2825,39783
2020-05-21,2020,5,21,56190,11239,685,6892,3036,34338
2020-05-22,2020,5,22,64627,12135,549,8681,6234,37028
2020-05-23,2020,5,23,60967,12891,413,11872,4619,31172
2020-05-24,2020,5,24,80287,17433,784,22049,5682,34339
2020-05-25,2020,5,25,69437,12167,309,10873,5843,40245
2020-05-26,2020,5,26,67756,13030,435,10506,5623,38162
2020-05-27,2020,5,27,77141,14183,1848,12360,5906,42844
2020-05-28,2020,5,28,72266,12648,518,11486,6102,41512
2020-05-29,2020,5,29,85027,13781,3309,15443,6483,46011
2020-05-30,2020,5,30,112354,17858,4879,26970,9657,52990
2020-05-31,2020,5,31,104685,16179,6516,24171,11207,46612
2020-06-01,2020,6,1,75768,13991,1624,8620,6994,44539
2020-06-02,2020,6,2,87106,16747,3583,12475,7001,47300
2020-06-03,2020,6,3,86322,14294,4914,13276,7943,45895
2020-06-04,2020,6,4,87008,14890,4131,14543,7117,46327
2020-06-05,2020,6,5,104870,16613,5158,15966,8807,58326
2020-06-06,2020,6,6,143978,19822,7767,30255,14667,71467
2020-06-07,2020,6,7,162500,20751,12989,35087,17219,76454
2020-06-08,2020,6,8,105206,19761,6342,15495,7640,55968
2020-06-09,2020,6,9,99199,17239,3845,17628,8465,52022
2020-06-10,2020,6,10,101559,16961,3745,15428,9683,55742
2020-06-11,2020,6,11,79399,10792,2740,7808,5220,52839
2020-06-12,2020,6,12,109930,20523,4181,10828,8662,65736
2020-06-13,2020,6,13,138438,22539,4213,16219,9252,86215
2020-06-14,2020,6,14,146131,27074,3217,15984,9982,89874
2020-06-15,2020,6,15,116705,21783,6521,17947,8213,62241
2020-06-16,2020,6,16,116401,20088,6244,17872,8251,63946
2020-06-17,2020,6,17,116323,19467,7081,19917,8113,61745
2020-06-18,2020,6,18,108272,23246,3461,13823,5716,62026
2020-06-19,2020,6,19,117311,17858,3263,11545,7521,77124
2020-06-20,2020,6,20,240185,34553,20247,41144,20879,123362
2020-06-21,2020,6,21,225321,36541,15748,39999,19650,113383
2020-06-22,2020,6,22,120865,19002,4754,13204,7488,76417
2020-06-23,2020,6,23,126084,21053,5794,17087,8621,73529
2020-06-24,2020,6,24,133338,19935,7931,19892,9191,76389
2020-06-25,2020,6,25,123070,27123,4934,13145,6614,71254
2020-06-26,2020,6,26,142243,25163,5016,15527,8457,88080
2020-06-27,2020,6,27,271406,39833,25605,45016,22752,138200
2020-06-28,2020,6,28,199813,30469,7966,25685,10390,125303
2020-06-29,2020,6,29,158742,27654,9322,22183,11411,88172
2020-06-30,2020,6,30,123649,21866,3134,15839,7749,75061
2020-07-01,2020,7,1,105745,15710,1614,12869,5383,70169
2020-07-02,2020,7,2,131005,21939,6769,18763,9565,73969
2020-07-03,2020,7,3,146141,23612,6257,17213,10954,88105
2020-07-04,2020,7,4,166747,25476,1664,15657,7487,116463
2020-07-05,2020,7,5,203527,32466,7763,23836,15149,124313
2020-07-06,2020,7,6,120012,21890,1540,9891,4965,81726
2020-07-07,2020,7,7,114513,23307,1408,9119,5742,74937
2020-07-08,2020,7,8,108145,17361,1163,9401,5943,74277
2020-07-09,2020,7,9,114825,24820,1145,10138,5740,72982
2020-07-10,2020,7,10,141026,28751,5925,16738,7608,82004
2020-07-11,2020,7,11,184963,26408,1749,16533,9680,130593
2020-07-12,2020,7,12,234653,35280,19335,37783,16510,125745
2020-07-13,2020,7,13,149968,27157,5561,16688,9046,91516
2020-07-14,2020,7,14,126200,22379,1884,11169,5298,85470
2020-07-15,2020,7,15,127166,24881,4031,13097,7349,77808
2020-07-16,2020,7,16,147098,27727,6456,15808,8063,89044
2020-07-17,2020,7,17,158907,27684,4112,15803,9582,101726
2020-07-18,2020,7,18,209688,31412,8233,26602,12579,130862
2020-07-19,2020,7,19,227099,37678,12720,33885,18445,124371
2020-07-20,2020,7,20,148547,29846,6097,15582,10578,86444
2020-07-21,2020,7,21,144940,28886,5371,18280,9049,83354
2020-07-22,2020,7,22,165276,35655,8820,19975,10162,90664
2020-07-23,2020,7,23,383942,103761,14921,42972,19620,202668
2020-07-24,2020,7,24,507078,104044,49541,75247,33942,244304
2020-07-25,2020,7,25,375254,81989,15186,44169,25701,208209
2020-07-26,2020,7,26,284918,58387,6095,35576,17462,167398
2020-07-27,2020,7,27,188878,41427,6042,15802,10792,114815
2020-07-28,2020,7,28,168336,39286,4338,15082,8633,100997
2020-07-29,2020,7,29,168078,37145,5385,16315,9187,100046
2020-07-30,2020,7,30,169364,34862,5544,18160,8296,102502
2020-07-31,2020,7,31,185462,40228,7093,18816,13123,106202
2020-08-01,2020,8,1,284565,57555,18940,40721,18708,148641
2020-08-02,2020,8,2,297978,58852,19009,48965,20652,150500
2020-08-03,2020,8,3,241789,52950,18234,30479,16886,123240
2020-08-04,2020,8,4,224773,47136,14031,29827,16470,117309
2020-08-05,2020,8,5,240603,44085,14773,33651,15717,132377
2020-08-06,2020,8,6,242900,46478,16559,37875,16520,125468
2020-08-07,2020,8,7,267620,51963,17400,39692,17979,140586
2020-08-08,2020,8,8,366612,66608,22636,59841,26551,190976
2020-08-09,2020,8,9,449591,78300,31570,76523,32951,230247
2020-08-10,2020,8,10,410144,71449,27448,65803,31455,213989
2020-08-11,2020,8,11,382604,70583,24446,67244,30036,190295
2020-08-12,2020,8,12,367759,67264,33092,59866,28425,179112
2020-08-13,2020,8,13,389390,70420,31673,61317,28340,197640
2020-08-14,2020,8,14,413329,75324,36516,71007,34818,195664
2020-08-15,2020,8,15,399121,71523,32714,67961,30009,196914
2020-08-16,2020,8,16,331313,61930,22576,52747,26187,167873
2020-08-17,2020,8,17,296265,57917,17912,37990,19803,162643
2020-08-18,2020,8,18,281113,55106,18726,41053,18641,147587
2020-08-19,2020,8,19,284398,53973,19858,42049,17286,151232
2020-08-20,2020,8,20,256937,49639,17010,35858,15941,138489
2020-08-21,2020,8,21,271120,54195,15698,40311,16957,143959
2020-08-22,2020,8,22,319859,60307,17249,55598,22772,163933
2020-08-23,2020,8,23,315653,57727,14617,40967,19003,183339
2020-08-24,2020,8,24,265092,52883,16532,34111,16303,145263
2020-08-25,2020,8,25,249675,51160,13301,32515,15540,137159
2020-08-26,2020,8,26,262095,54974,14116,36503,14808,141694
2020-08-27,2020,8,27,241193,51230,11110,29551,15697,133605
2020-08-28,2020,8,28,272632,53571,14335,35852,17214,151660
2020-08-29,2020,8,29,345573,64668,23918,52230,24616,180141
2020-08-30,2020,8,30,342624,62932,25032,54208,26022,174430
2020-08-31,2020,8,31,234465,45895,11977,28318,17590,130685
2020-09-01,2020,9,1,214367,40580,9520,28253,14516,121498
2020-09-02,2020,9,2,206732,38700,9029,24858,12994,121151
2020-09-03,2020,9,3,214479,37365,8290,25023,11199,132602
2020-09-04,2020,9,4,259960,51583,16408,33025,15971,142973
2020-09-05,2020,9,5,305738,54605,16065,46109,23272,165687
2020-09-06,2020,9,6,289083,54230,15010,38962,19638,161243
2020-09-07,2020,9,7,203724,39115,4601,20756,11610,127642
2020-09-08,2020,9,8,243719,50256,9030,31061,15667,137705
2020-09-09,2020,9,9,247898,47965,17350,34365,16718,131500
2020-09-10,2020,9,10,257419,51166,13165,31809,15005,146274
2020-09-11,2020,9,11,291403,55293,19089,39428,17271,160322
2020-09-12,2020,9,12,304087,54031,10546,37208,19028,183274
2020-09-13,2020,9,13,386429,66426,22928,57063,27097,212915
2020-09-14,2020,9,14,295809,57000,18047,36438,16703,167621
2020-09-15,2020,9,15,280180,51728,17741,36031,15539,159141
2020-09-16,2020,9,16,263961,48303,14477,33125,15207,152849
2020-09-17,2020,9,17,275628,49272,14300,35469,16281,160306
2020-09-18,2020,9,18,275826,52796,2477,27152,14963,178438
2020-09-19,2020,9,19,486525,81288,41188,80084,31215,252750
2020-09-20,2020,9,20,567229,105397,41826,85601,39630,294775
2020-09-21,2020,9,21,742406,125745,89476,117625,52205,357355
2020-09-22,2020,9,22,505542,90180,38837,75851,34305,266369
2020-09-23,2020,9,23,281794,54338,11097,26876,14263,175220
2020-09-24,2020,9,24,245878,48729,9719,26094,11992,149344
2020-09-25,2020,9,25,279389,52615,9508,25980,14361,176925
2020-09-26,2020,9,26,365215,63265,18381,45279,20076,218214
2020-09-27,2020,9,27,432137,70019,28918,54879,26021,252300
2020-09-28,2020,9,28,330074,61492,27389,46228,19491,175474
2020-09-29,2020,9,29,293756,55507,17132,39551,17797,163769
2020-09-30,2020,9,30,245915,50439,14422,37188,17324,126542
2020-10-01,2020,10,1,213233,43486,11330,24583,11894,121940
2020-10-02,2020,10,2,284032,52986,19324,36961,16505,158256
2020-10-03,2020,10,3,426989,76341,30487,68018,25749,226394
2020-10-04,2020,10,4,424354,80764,30078,62645,25803,225064
2020-10-05,2020,10,5,274854,56373,17127,36788,15207,149359
2020-10-06,2020,10,6,269762,49545,14472,38215,17012,150518
2020-10-07,2020,10,7,260565,47207,15514,29781,16278,151785
2020-10-08,2020,10,8,213822,44342,7780,16390,9736,135574
2020-10-09,2020,10,9,251910,53745,8527,21035,15337,153266
2020-10-10,2020,10,10,275299,49587,8751,14577,11527,190857
2020-10-11,2020,10,11,430944,76376,37477,65325,29267,222499
2020-10-12,2020,10,12,314884,62962,21465,40593,18213,171651
2020-10-13,2020,10,13,281627,51545,15871,36833,15503,161875
2020-10-14,2020,10,14,284178,53860,16535,37553,16708,159522
2020-10-15,2020,10,15,268798,52037,16414,34012,14784,151551
2020-10-16,2020,10,16,337102,69611,23799,46691,17820,179181
2020-10-17,2020,10,17,408546,76287,15377,46466,21952,248464
2020-10-18,2020,10,18,525361,91392,67772,77906,34069,254222
2020-10-19,2020,10,19,335654,67138,16609,40177,16600,195130
2020-10-20,2020,10,20,355325,72738,23418,52357,19020,187792
2020-10-21,2020,10,21,362721,72431,22823,54559,19434,193474
2020-10-22,2020,10,22,309239,62540,18246,40233,17774,170446
2020-10-23,2020,10,23,327550,69516,14151,31973,16801,195109
2020-10-24,2020,10,24,569274,109002,53521,87441,39051,280259
2020-10-25,2020,10,25,571563,107406,56752,96503,41485,269417
2020-10-26,2020,10,26,408116,77099,31729,60505,23203,215580
2020-10-27,2020,10,27,350053,62396,24365,49502,21481,192309
2020-10-28,2020,10,28,357256,63728,21453,48196,22711,201168
2020-10-29,2020,10,29,366379,66435,24495,48888,20201,206360
2020-10-30,2020,10,30,369761,64587,25508,51027,19840,208799
2020-10-31,2020,10,31,627848,113946,52818,91063,41377,328644
2020-11-01,2020,11,1,702180,133129,87740,105501,47603,328207
2020-11-02,2020,11,2,497363,101414,39174,64085,28027,264663
2020-11-03,2020,11,3,562443,101596,46820,73408,33338,307281
2020-11-04,2020,11,4,451212,83141,35614,66416,26596,239445
2020-11-05,2020,11,5,398144,74974,30972,54471,23246,214481
2020-11-06,2020,11,6,435367,81242,34403,61961,25051,232710
2020-11-07,2020,11,7,583777,104550,43304,73471,34066,328386
2020-11-08,2020,11,8,764572,131510,130403,112261,44505,345893
2020-11-09,2020,11,9,461462,86084,41582,67519,25722,240555
2020-11-10,2020,11,10,438005,78072,33567,68227,23379,234760
2020-11-11,2020,11,11,456912,77774,37725,67767,26297,247349
2020-11-12,2020,11,12,404872,73993,32878,63865,23647,210489
2020-11-13,2020,11,13,496148,96177,39898,77632,28958,253483
2020-11-14,2020,11,14,758900,132360,87494,114679,43473,380894
2020-11-15,2020,11,15,708258,133640,86421,107110,48515,332572
2020-11-16,2020,11,16,496649,93752,48404,67197,27800,259496
2020-11-17,2020,11,17,455653,89775,36975,66538,25322,237043
2020-11-18,2020,11,18,466265,81353,36521,66281,27564,254546
2020-11-19,2020,11,19,437566,79667,32801,66729,24846,233523
2020-11-20,2020,11,20,398836,84435,4050,32751,18140,259460
2020-11-21,2020,11,21,723949,140095,87068,109087,40269,347430
2020-11-22,2020,11,22,826700,159892,124193,135109,54304,353202
2020-11-23,2020,11,23,627926,110403,67138,102557,35020,312808
2020-11-24,2020,11,24,428707,79286,29505,63664,24119,232133
2020-11-25,2020,11,25,395081,74962,22137,52473,22908,222601
2020-11-26,2020,11,26,411036,75094,27929,59062,23319,225632
2020-11-27,2020,11,27,403602,73088,20695,51091,20064,238664
2020-11-28,2020,11,28,614664,106376,52480,91788,35928,328092
2020-11-29,2020,11,29,537094,96538,44799,87462,35509,272786
2020-11-30,2020,11,30,385574,67420,25355,57095,22542,213162
2020-12-01,2020,12,1,314777,53221,17645,45838,16453,181620
2020-12-02,2020,12,2,277926,44964,11443,34954,14407,172158
2020-12-03,2020,12,3,302487,54387,14729,42307,15048,176016
2020-12-04,2020,12,4,359116,70235,19562,50779,18927,199613
2020-12-05,2020,12,5,474616,85281,26319,62890,24852,275274
2020-12-06,2020,12,6,511887,90383,42592,86637,29640,262635
2020-12-07,2020,12,7,344710,62419,22028,45568,17731,196964
2020-12-08,2020,12,8,303909,52777,14609,39172,16443,180908
2020-12-09,2020,12,9,285721,48305,12868,36899,15132,172517
2020-12-10,2020,12,10,249155,49473,12258,30148,15775,141501
